Topic: test-topic-0000000-1000-5FPR4wg  TopicId: GqXYichCSZOEPoLD--xQrA PartitionCount: 1000    ReplicationFactor: 3    Configs: min.insync.replicas=2,retention.ms=86400000,message.format.version=3.0-IV1,unclean.leader.election.enable=true
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 112  Leader: 8       Replicas: 8,5,4 Isr: 8,5,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 113  Leader: 10      Replicas: 10,1,14       Isr: 10,1,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 114  Leader: 15      Replicas: 15,9,7        Isr: 15,9,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 115  Leader: 2       Replicas: 2,3,11        Isr: 2,3,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 116  Leader: 13      Replicas: 13,6,12       Isr: 13,6,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 117  Leader: 4       Replicas: 4,8,5 Isr: 4,8,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 118  Leader: 14      Replicas: 14,10,1       Isr: 14,10,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 119  Leader: 7       Replicas: 7,15,9        Isr: 7,15,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 120  Leader: 12      Replicas: 12,11,7       Isr: 12,11,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 121  Leader: 6       Replicas: 6,5,2 Isr: 6,5,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 122  Leader: 3       Replicas: 3,14,4        Isr: 3,14,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 123  Leader: 9       Replicas: 9,1,10        Isr: 9,1,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 124  Leader: 15      Replicas: 15,13,8       Isr: 15,13,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 125  Leader: 7       Replicas: 7,12,11       Isr: 7,12,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 126  Leader: 2       Replicas: 2,6,5 Isr: 2,6,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 127  Leader: 4       Replicas: 4,3,14        Isr: 4,3,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 128  Leader: 10      Replicas: 10,9,1        Isr: 10,9,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 129  Leader: 8       Replicas: 8,15,13       Isr: 8,15,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 130  Leader: 11      Replicas: 11,7,12       Isr: 11,7,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 131  Leader: 5       Replicas: 5,2,6 Isr: 5,2,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 132  Leader: 14      Replicas: 14,4,3        Isr: 14,4,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 133  Leader: 1       Replicas: 1,10,9        Isr: 1,10,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 134  Leader: 13      Replicas: 13,8,15       Isr: 13,8,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 135  Leader: 14      Replicas: 14,15,7       Isr: 14,15,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 136  Leader: 1       Replicas: 1,5,9 Isr: 1,5,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 137  Leader: 3       Replicas: 3,8,11        Isr: 3,8,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 138  Leader: 2       Replicas: 2,6,13        Isr: 2,6,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 139  Leader: 4       Replicas: 4,10,12       Isr: 4,10,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 140  Leader: 7       Replicas: 7,14,15       Isr: 7,14,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 141  Leader: 9       Replicas: 9,1,5 Isr: 9,1,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 142  Leader: 11      Replicas: 11,3,8        Isr: 11,3,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 143  Leader: 13      Replicas: 13,2,6        Isr: 13,2,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 144  Leader: 12      Replicas: 12,4,10       Isr: 12,4,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 145  Leader: 15      Replicas: 15,7,14       Isr: 15,7,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 146  Leader: 5       Replicas: 5,9,1 Isr: 5,9,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 147  Leader: 8       Replicas: 8,11,3        Isr: 8,11,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 148  Leader: 6       Replicas: 6,13,2        Isr: 6,13,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 149  Leader: 10      Replicas: 10,12,4       Isr: 10,12,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 150  Leader: 6       Replicas: 6,14,7        Isr: 6,14,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 151  Leader: 2       Replicas: 2,3,1 Isr: 2,3,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 152  Leader: 10      Replicas: 10,4,9        Isr: 10,4,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 153  Leader: 11      Replicas: 11,8,13       Isr: 11,8,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 154  Leader: 12      Replicas: 12,5,15       Isr: 12,5,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 155  Leader: 7       Replicas: 7,6,14        Isr: 7,6,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 156  Leader: 1       Replicas: 1,2,3 Isr: 1,2,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 157  Leader: 9       Replicas: 9,10,4        Isr: 9,10,4
